Restaurant_Num,Sales,Customer_Count,Week,Day,Day_Friday,Day_Monday,Day_Saturday,Day_Sunday,Day_Thursday,Day_Tuesday,Day_Wednesday
254,1097.45,152,24,Saturday,0,0,1,0,0,0,0
254,991.78,122,24,Sunday,0,0,0,1,0,0,0
254,1359.77,177,24,Thursday,0,0,0,0,1,0,0
254,1348.92,189,24,Tuesday,0,0,0,0,0,1,0
254,1542.5,206,24,Wednesday,0,0,0,0,0,0,1
254,1759.94,242,25,Friday,1,0,0,0,0,0,0
254,1444.8,201,25,Monday,0,1,0,0,0,0,0
254,1286.35,177,25,Saturday,0,0,1,0,0,0,0
254,1327.45,155,25,Sunday,0,0,0,1,0,0,0
254,1703.16,225,25,Thursday,0,0,0,0,1,0,0
254,1332.03,197,25,Tuesday,0,0,0,0,0,1,0
254,1700.68,229,25,Wednesday,0,0,0,0,0,0,1
254,2261.18,272,26,Friday,1,0,0,0,0,0,0
254,1582.6,209,26,Monday,0,1,0,0,0,0,0
254,1900.53,220,26,Saturday,0,0,1,0,0,0,0
254,1247.23,161,26,Sunday,0,0,0,1,0,0,0
254,1761.03,236,26,Thursday,0,0,0,0,1,0,0
254,1645.98,225,26,Tuesday,0,0,0,0,0,1,0
254,1804.75,243,26,Wednesday,0,0,0,0,0,0,1
254,1748.07,232,27,Friday,1,0,0,0,0,0,0
254,1758.1,239,27,Monday,0,1,0,0,0,0,0
254,1316.15,187,27,Saturday,0,0,1,0,0,0,0
254,1316.22,174,27,Sunday,0,0,0,1,0,0,0
254,1143,169,27,Thursday,0,0,0,0,1,0,0
254,1989.07,277,27,Tuesday,0,0,0,0,0,1,0
254,693.51,90,27,Wednesday,0,0,0,0,0,0,1
254,1771.33,231,28,Friday,1,0,0,0,0,0,0
254,1514.54,205,28,Monday,0,1,0,0,0,0,0
254,1398.76,195,28,Saturday,0,0,1,0,0,0,0
254,1339.46,174,28,Sunday,0,0,0,1,0,0,0
254,1505.25,193,28,Thursday,0,0,0,0,1,0,0
254,1650.52,244,28,Tuesday,0,0,0,0,0,1,0
254,1590.72,204,28,Wednesday,0,0,0,0,0,0,1
254,1611.8,235,29,Friday,1,0,0,0,0,0,0
254,1614.09,218,29,Monday,0,1,0,0,0,0,0
254,1434.85,186,29,Saturday,0,0,1,0,0,0,0
254,1290.69,162,29,Sunday,0,0,0,1,0,0,0
254,1841.6,251,29,Thursday,0,0,0,0,1,0,0
254,1372.92,197,29,Tuesday,0,0,0,0,0,1,0
254,1185.48,164,29,Wednesday,0,0,0,0,0,0,1
254,2005.45,253,30,Friday,1,0,0,0,0,0,0
254,1323.83,180,30,Monday,0,1,0,0,0,0,0
254,1336.53,182,30,Saturday,0,0,1,0,0,0,0
254,1264.73,151,30,Sunday,0,0,0,1,0,0,0
254,1745.48,233,30,Thursday,0,0,0,0,1,0,0
254,1598.82,217,30,Tuesday,0,0,0,0,0,1,0
254,1278.06,206,30,Wednesday,0,0,0,0,0,0,1
254,2235.64,301,31,Friday,1,0,0,0,0,0,0
254,1326,199,31,Monday,0,1,0,0,0,0,0
254,1841.95,237,31,Saturday,0,0,1,0,0,0,0
254,1159.79,167,31,Sunday,0,0,0,1,0,0,0
254,2098.9,307,31,Thursday,0,0,0,0,1,0,0
254,1736.32,252,31,Tuesday,0,0,0,0,0,1,0
254,2033.1,286,31,Wednesday,0,0,0,0,0,0,1
254,1565.5,236,32,Friday,1,0,0,0,0,0,0
254,1725.35,251,32,Monday,0,1,0,0,0,0,0
254,1302.84,197,32,Saturday,0,0,1,0,0,0,0
254,1430.9,171,32,Sunday,0,0,0,1,0,0,0
254,1781.77,260,32,Thursday,0,0,0,0,1,0,0
254,1819.64,274,32,Tuesday,0,0,0,0,0,1,0
254,1677.49,250,32,Wednesday,0,0,0,0,0,0,1
254,1504.65,231,33,Friday,1,0,0,0,0,0,0
254,1456.88,224,33,Monday,0,1,0,0,0,0,0
254,1183.53,155,33,Saturday,0,0,1,0,0,0,0
254,929.73,137,33,Sunday,0,0,0,1,0,0,0
254,1484.17,240,33,Thursday,0,0,0,0,1,0,0
254,1445.94,235,33,Tuesday,0,0,0,0,0,1,0
254,1339.71,202,33,Wednesday,0,0,0,0,0,0,1
254,1339.14,209,34,Friday,1,0,0,0,0,0,0
254,1555.11,239,34,Monday,0,1,0,0,0,0,0
254,1269.88,171,34,Saturday,0,0,1,0,0,0,0
254,1060.66,145,34,Sunday,0,0,0,1,0,0,0
254,1514.37,224,34,Thursday,0,0,0,0,1,0,0
254,1380.56,211,34,Tuesday,0,0,0,0,0,1,0
254,1353.22,219,34,Wednesday,0,0,0,0,0,0,1
254,2128.97,305,35,Friday,1,0,0,0,0,0,0
254,1512.14,243,35,Monday,0,1,0,0,0,0,0
254,1255.73,177,35,Saturday,0,0,1,0,0,0,0
254,1120.34,160,35,Sunday,0,0,0,1,0,0,0
254,1552.8,219,35,Thursday,0,0,0,0,1,0,0
254,1263.1,191,35,Tuesday,0,0,0,0,0,1,0
254,1474.46,237,35,Wednesday,0,0,0,0,0,0,1
254,1357.03,208,36,Friday,1,0,0,0,0,0,0
254,956.41,119,36,Monday,0,1,0,0,0,0,0
254,1177.96,158,36,Saturday,0,0,1,0,0,0,0
254,1088.03,140,36,Sunday,0,0,0,1,0,0,0
254,1619.74,240,36,Thursday,0,0,0,0,1,0,0
254,1173.59,187,36,Tuesday,0,0,0,0,0,1,0
254,1470.99,229,36,Wednesday,0,0,0,0,0,0,1
254,1864.52,254,37,Friday,1,0,0,0,0,0,0
254,1305.68,197,37,Monday,0,1,0,0,0,0,0
254,1420.33,181,37,Saturday,0,0,1,0,0,0,0
254,1222.2,167,37,Sunday,0,0,0,1,0,0,0
254,1510.45,221,37,Thursday,0,0,0,0,1,0,0
254,1495.27,210,37,Tuesday,0,0,0,0,0,1,0
254,1376.34,231,37,Wednesday,0,0,0,0,0,0,1
254,1602.2,229,38,Friday,1,0,0,0,0,0,0
254,1284.86,206,38,Monday,0,1,0,0,0,0,0
254,1325.93,172,38,Saturday,0,0,1,0,0,0,0
254,1375.86,164,38,Sunday,0,0,0,1,0,0,0
254,1505.22,226,38,Thursday,0,0,0,0,1,0,0
254,1342.65,186,38,Tuesday,0,0,0,0,0,1,0
254,1539.37,196,38,Wednesday,0,0,0,0,0,0,1
254,1861.07,248,39,Friday,1,0,0,0,0,0,0
254,1318.33,208,39,Monday,0,1,0,0,0,0,0
254,1518.51,214,39,Saturday,0,0,1,0,0,0,0
254,1522.06,180,39,Sunday,0,0,0,1,0,0,0
254,1574.27,242,39,Thursday,0,0,0,0,1,0,0
254,1701.17,244,39,Tuesday,0,0,0,0,0,1,0
254,1773.06,272,39,Wednesday,0,0,0,0,0,0,1
254,1526.16,233,40,Friday,1,0,0,0,0,0,0
254,1839.06,262,40,Monday,0,1,0,0,0,0,0
254,1316.49,186,40,Saturday,0,0,1,0,0,0,0
254,1301.81,173,40,Sunday,0,0,0,1,0,0,0
254,1567.23,224,40,Thursday,0,0,0,0,1,0,0
254,1658.89,248,40,Tuesday,0,0,0,0,0,1,0
254,2050.1,265,40,Wednesday,0,0,0,0,0,0,1
254,1487.11,207,41,Friday,1,0,0,0,0,0,0
254,1400.37,218,41,Monday,0,1,0,0,0,0,0
254,1366.3,190,41,Saturday,0,0,1,0,0,0,0
254,1186.85,160,41,Sunday,0,0,0,1,0,0,0
254,1556.16,229,41,Thursday,0,0,0,0,1,0,0
254,1584.68,236,41,Tuesday,0,0,0,0,0,1,0
254,1576.26,219,41,Wednesday,0,0,0,0,0,0,1
254,1893.772377,163,42,Friday,1,0,0,0,0,0,0
254,1115.06,182,42,Monday,0,1,0,0,0,0,0
254,1893.772377,163,42,Saturday,0,0,1,0,0,0,0
254,1893.772377,163,42,Sunday,0,0,0,1,0,0,0
254,1550.04,220,42,Thursday,0,0,0,0,1,0,0
254,1391,224,42,Tuesday,0,0,0,0,0,1,0
254,1379.66,206,42,Wednesday,0,0,0,0,0,0,1
283,1737.57,201,1,Friday,1,0,0,0,0,0,0
283,0.59,2,1,Monday,0,1,0,0,0,0,0
283,1459.07,175,1,Saturday,0,0,1,0,0,0,0
283,1055.7,153,1,Sunday,0,0,0,1,0,0,0
283,1339.57,162,1,Thursday,0,0,0,0,1,0,0
283,1012.43,143,1,Tuesday,0,0,0,0,0,1,0
283,1311.28,171,1,Wednesday,0,0,0,0,0,0,1
283,2290.28,312,2,Friday,1,0,0,0,0,0,0
283,1132.48,179,2,Monday,0,1,0,0,0,0,0
283,0.59,1,2,Saturday,0,0,1,0,0,0,0
283,878.28,116,2,Sunday,0,0,0,1,0,0,0
283,1392.1,181,2,Thursday,0,0,0,0,1,0,0
283,1265.33,185,2,Tuesday,0,0,0,0,0,1,0
283,1542.18,204,2,Wednesday,0,0,0,0,0,0,1
283,1332.33,180,3,Friday,1,0,0,0,0,0,0
283,959.42,125,3,Monday,0,1,0,0,0,0,0
283,993.68,126,3,Saturday,0,0,1,0,0,0,0
283,939.01,125,3,Sunday,0,0,0,1,0,0,0
283,1320.59,175,3,Thursday,0,0,0,0,1,0,0
283,736.24,85,3,Tuesday,0,0,0,0,0,1,0
283,883.7,111,3,Wednesday,0,0,0,0,0,0,1
